;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
349;N201;2;0;4;0;1;-0.207538215;0;287.888;0;108
350;N201;2;0;5;0;1;-0.299655468;0;3.125.366;0;178
351;N201;2;0;1;1;2;0.330919451;0;6.434.958;0;64
352;N201;2;0;1;3;2;-0.059978323;0;4.484.887;0;276
353;N201;2;0;1;5;2;-0.218303708;0;6.142.461;0;618
354;N201;2;0;3;1;2;0.179743407;0;4.522.613;0;65
355;N201;2;0;3;3;2;-0.105419215;0;4.369.101;0;270
356;N201;2;0;3;5;2;-0.098938702;0;481.626;0;780
357;N201;2;0;5;1;2;-0.108480341;0;5.465.051;0;61
358;N201;2;0;5;3;2;-0.324875902;0;3.292.704;0;218
359;N201;2;0;5;5;2;-0.18798004;0;3.484.106;0;388
360;N201;2;0;1;1;3;-0.122561354;1.927.359;6.552.316;6.561.076;64
361;N201;2;0;1;3;3;0.046840432;1.117.677;2.866.712;1.788.289;191
362;N201;2;0;1;5;3;-0.19703318;1.790.799;5.724.186;2.426.903;366
363;N201;2;0;3;1;3;0.017967223;1.019.044;5.898.984;246.554;81
364;N201;2;0;3;3;3;0.096309995;9.891.625;4.481.202;146.336;207
365;N201;2;0;3;5;3;-0.203417233;703.881;8.982.757;7.106.734;439
366;N201;2;0;5;1;3;0.004107763;5.594.186;2.474.116;1.003.378;62
367;N201;2;0;5;3;3;-0.179085297;4.610.628;3.307.743;8.373.843;108
